TrueCount,H17-2deck-30pen,H17-2deck-35pen,H17-2deck-40pen,H17-2deck-45pen,H17-2deck-50pen,H17-2deck-55pen,H17-2deck-60pen,H17-2deck-65pen,H17-2deck-70pen,H17-2deck-75pen,H17-2deck-80pen,H17-6deck-30pen,H17-6deck-35pen,H17-6deck-40pen,H17-6deck-45pen,H17-6deck-50pen,H17-6deck-55pen,H17-6deck-60pen,H17-6deck-65pen,H17-6deck-70pen,H17-6deck-75pen,H17-6deck-80pen,H17-8deck-30pen,H17-8deck-35pen,H17-8deck-40pen,H17-8deck-45pen,H17-8deck-50pen,H17-8deck-55pen,H17-8deck-60pen,H17-8deck-65pen,H17-8deck-70pen,H17-8deck-75pen,H17-8deck-80pen,S17-2deck-30pen,S17-2deck-35pen,S17-2deck-40pen,S17-2deck-45pen,S17-2deck-50pen,S17-2deck-55pen,S17-2deck-60pen,S17-2deck-65pen,S17-2deck-70pen,S17-2deck-75pen,S17-2deck-80pen-EqualBet,S17-6deck-30pen,S17-6deck-35pen,S17-6deck-40pen,S17-6deck-45pen,S17-6deck-50pen,S17-6deck-55pen,S17-6deck-60pen,S17-6deck-65pen,S17-6deck-70pen,S17-6deck-75pen,S17-6deck-80pen,S17-8deck-30pen,S17-8deck-35pen,S17-8deck-40pen,S17-8deck-45pen,S17-8deck-50pen,S17-8deck-55pen,S17-8deck-60pen,S17-8deck-65pen,S17-8deck-70pen,S17-8deck-75pen,S17-8deck-80pen
-24.0,0,0,0,0,0,17,97,1678,3717,17065,85178,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,16,95,1649,3791,17299,86049,0,0,0,0,0,0,0,0,0,2,82,0,0,0,0,0,0,0,0,0,0,2
-23.5,0,0,0,0,2,16,309,1801,5945,28947,105719,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,340,1887,5997,28666,105554,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
-23.0,0,0,0,0,0,82,336,910,16742,43981,93702,0,0,0,0,0,0,0,0,0,3,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,76,427,883,16570,44172,93406,0,0,0,0,0,0,0,0,0,2,253,0,0,0,0,0,0,0,0,0,0,5
-22.5,0,0,0,0,4,53,917,4620,9449,56826,285429,0,0,0,0,0,0,0,0,0,2,144,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,54,954,4467,9718,57036,287145,0,0,0,0,0,0,0,0,0,14,407,0,0,0,0,0,0,0,0,0,1,13
-22.0,0,0,0,0,2,142,957,4792,14776,32941,87282,0,0,0,0,0,0,0,0,1,13,189,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,159,911,4816,14747,33212,87503,0,0,0,0,0,0,0,0,0,30,437,0,0,0,0,0,0,0,0,0,1,33
-21.5,0,0,0,3,17,144,933,5337,21529,55233,305762,0,0,0,0,0,0,0,0,2,20,351,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,17,161,1015,5221,21507,54943,308217,0,0,0,0,0,0,0,0,2,32,1026,0,0,0,0,0,0,0,0,0,2,64
-21.0,0,0,0,0,32,535,2496,11688,43155,139059,241597,0,0,0,0,0,0,0,0,2,29,521,0,0,0,0,0,0,0,0,0,1,42,0,0,0,1,24,526,2589,11564,43495,140699,242048,0,0,0,0,0,0,0,0,5,88,1507,0,0,0,0,0,0,0,0,0,6,106
-20.5,0,0,0,6,63,437,2582,12367,34222,98191,269705,0,0,0,0,0,0,0,0,4,49,828,0,0,0,0,0,0,0,0,0,2,55,0,0,0,9,45,469,2696,12333,34304,99150,271202,0,0,0,0,0,0,0,0,5,145,2513,0,0,0,0,0,0,0,0,0,5,161
-20.0,0,0,0,4,77,1495,6431,13171,49421,89383,479109,0,0,0,0,0,0,0,0,4,61,1221,0,0,0,0,0,0,0,0,0,6,120,0,0,1,2,71,1446,6333,13301,49423,88820,481695,0,0,0,0,0,0,0,0,12,213,3963,0,0,0,0,0,0,0,0,1,4,355
-19.5,0,0,0,17,257,1235,6371,27067,94506,282710,467023,0,0,0,0,0,0,0,0,15,176,1685,0,0,0,0,0,0,0,0,0,8,180,0,0,3,32,265,1295,6414,27256,94740,284932,467668,0,0,0,0,0,0,0,0,28,520,4965,0,0,0,0,0,0,0,0,1,26,532
