File,Strategy,Rules,Action A,Action B,UserValue,DealerValue,TrueCount,Hands Played,Action A EV,Action A Variance,Action B EV,Action B Variance,Best Action
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,52,152769,0.184664,0.862527,0.155411,3.684270,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,53,71098,0.222186,0.850223,0.262961,3.632672,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,53.5,76409,0.158201,0.872589,0.077923,3.718149,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,54.5,119897,0.193174,0.861647,0.171931,3.684394,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,56,84489,0.178816,0.864070,0.127093,3.692874,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,57.5,55670,0.174169,0.865659,0.117119,3.696863,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,60,52336,0.209760,0.851713,0.204219,3.657775,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,50,80423,0.049662,0.804989,0.068637,3.269377,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,50.5,295260,0.016677,0.861362,-0.028951,3.509776,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,51,336267,0.040292,0.826388,0.041586,3.360932,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,52,610399,0.030442,0.841018,0.013549,3.425425,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,53,246573,0.046570,0.819482,0.061037,3.332812,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,53.5,337862,0.020790,0.854722,-0.012573,3.481240,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,54.5,470282,0.033818,0.836911,0.027860,3.405869,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,55.5,164633,0.049626,0.813230,0.071091,3.304951,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,56,353019,0.025452,0.847196,0.005059,3.449160,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,56.5,54019,0.055666,0.799526,0.090339,3.244028,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,57.5,234723,0.027692,0.845891,0.009782,3.443623,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,58,91943,0.051478,0.808581,0.072849,3.283644,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,59,174772,0.035131,0.841269,0.025988,3.424107,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,10,59.5,94790,0.052495,0.807942,0.083490,3.283039,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,50.5,55318,0.061463,0.859124,-0.090423,3.570478,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,51,62683,0.111402,0.848828,0.138315,3.515799,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,52,114059,0.092882,0.853628,0.051149,3.549756,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,53.5,63090,0.065969,0.855879,-0.032271,3.560220,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,54.5,87685,0.100770,0.853209,0.094178,3.543984,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,10,11,56,65801,0.082294,0.855965,0.022644,3.553901,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,20,154001,0.155025,0.869948,0.156285,3.658201,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,20.5,139954,0.152950,0.870328,0.141704,3.664445,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,25,144455,0.155903,0.872022,0.166294,3.664486,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,25.5,112432,0.156566,0.869743,0.155098,3.662048,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,27,129045,0.158154,0.870063,0.163416,3.660753,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,28,110332,0.152213,0.870443,0.151524,3.659200,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,29,115431,0.161317,0.868650,0.164600,3.658502,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,29.5,116362,0.150969,0.871873,0.139977,3.667658,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,30,94002,0.153858,0.871128,0.155486,3.661788,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,31,117891,0.157883,0.868653,0.154991,3.661823,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,31.5,90640,0.156542,0.870585,0.166306,3.661089,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,32,105584,0.152343,0.870308,0.148716,3.660070,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,32.5,101121,0.152313,0.870680,0.153756,3.662161,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,33,91174,0.151458,0.871011,0.146533,3.666597,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,34,78999,0.161432,0.868596,0.169217,3.660425,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,34.5,123713,0.149669,0.871960,0.148392,3.663704,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,35,63765,0.157469,0.868092,0.157798,3.659190,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,36,92699,0.150875,0.871033,0.147186,3.664762,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,36.5,89393,0.157730,0.868726,0.163436,3.653980,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,37,81203,0.147901,0.871713,0.147088,3.662170,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,37.5,95197,0.157379,0.869504,0.166875,3.659622,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,38,80744,0.154674,0.870025,0.147256,3.665971,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,39,60246,0.170368,0.865175,0.207848,3.640031,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,39.5,83435,0.151124,0.870660,0.131671,3.666920,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,40,87125,0.155317,0.870362,0.159587,3.657516,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,40.5,77416,0.155575,0.871658,0.155523,3.662802,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,41,79720,0.155369,0.872499,0.160236,3.664390,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,41.5,68720,0.156839,0.870163,0.147730,3.667349,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,42,72053,0.157814,0.872337,0.170680,3.662651,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,44,61820,0.151375,0.870971,0.137884,3.667432,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,44.5,82511,0.164790,0.868858,0.181261,3.657125,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,45.5,61358,0.152645,0.869036,0.146028,3.660282,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,46,73925,0.160257,0.870780,0.182780,3.655844,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,47,66008,0.151406,0.870756,0.133893,3.670414,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,47.5,58052,0.183181,0.864192,0.271033,3.607448,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,48,64171,0.139206,0.870167,0.079724,3.673936,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,48.5,77373,0.173135,0.867727,0.227366,3.643030,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,49.5,116477,0.149540,0.871411,0.142191,3.665763,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,50.5,64720,0.131783,0.870751,0.065575,3.671967,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,51,71923,0.195529,0.861940,0.297902,3.603592,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,11,11,53.5,73279,0.142319,0.872539,0.111765,3.671893,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,1.5,519545,0.074775,0.913388,0.076567,3.705477,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,2,165058,0.067086,0.915146,0.054853,3.712509,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,6,367563,0.072159,0.916635,0.072717,3.703225,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,7,292877,0.070610,0.917559,0.065823,3.707137,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,8.5,277467,0.077112,0.916513,0.080860,3.704317,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,9,308903,0.071009,0.917192,0.068144,3.705531,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,9.5,279978,0.076656,0.916196,0.083299,3.702481,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,10.5,270033,0.068262,0.917824,0.065414,3.706586,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,11,262472,0.074160,0.916423,0.076991,3.704335,Double
