DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,48.5,-0.390250,-0.352451,7553234,Decline,-0.037799
11,49,-0.400836,-0.391282,5876762,Decline,-0.009554
11,49.5,-0.385391,-0.330531,9351811,Decline,-0.054860
11,50,-0.403263,-0.402595,6170831,Decline,-0.000668
11,50.5,-0.378581,-0.298705,4032213,Decline,-0.079875
11,51,-0.396687,-0.377419,11465951,Decline,-0.019268
11,51.5,-1.500000,-1.000000,5,Decline,-0.500000
11,52,-0.391780,-0.357806,15176505,Decline,-0.033974
11,52.5,0.000000,-1.000000,1,Accept,1.000000
11,53,-0.397630,-0.383928,10139028,Decline,-0.013702
11,53.5,-0.380838,-0.308628,4730735,Decline,-0.072210
11,54,-0.407517,-0.419642,3789905,Accept,0.012126
11,54.5,-0.388493,-0.346470,9989544,Decline,-0.042023
11,55,-0.403260,-0.392644,2599605,Decline,-0.010615
11,55.5,-0.394782,-0.379207,6915921,Decline,-0.015575
11,56,-0.389437,-0.345384,6849032,Decline,-0.044053
11,56.5,-0.399887,-0.397129,4201630,Decline,-0.002758
11,57,-0.392904,-0.367086,5617530,Decline,-0.025818
11,57.5,-0.391386,-0.357492,5450640,Decline,-0.033894
11,58,-0.397437,-0.389168,4828320,Decline,-0.008269
11,58.5,-0.392725,-0.366591,5066210,Decline,-0.026134
11,59,-0.393285,-0.365552,4828700,Decline,-0.027734
11,59.5,-0.397428,-0.389832,4754802,Decline,-0.007596
11,60,-0.392178,-0.362662,5201673,Decline,-0.029516
11,60.5,-0.396300,-0.380262,4753244,Decline,-0.016038
11,61,-0.397352,-0.387923,4158247,Decline,-0.009429
11,61.5,-0.391675,-0.369269,4509013,Decline,-0.022406
11,62,-0.396331,-0.380434,4477633,Decline,-0.015897
11,62.5,-0.396049,-0.382353,4022533,Decline,-0.013696
11,63,-0.392517,-0.371398,4830762,Decline,-0.021119
11,63.5,-0.399333,-0.394813,3335078,Decline,-0.004520
11,64,-0.398701,-0.396896,3133642,Decline,-0.001805
11,64.5,-0.393936,-0.376378,5272489,Decline,-0.017559
11,65,-0.399805,-0.397923,1858164,Decline,-0.001882
11,65.5,-0.394789,-0.385869,4510220,Decline,-0.008919
11,66,-0.396990,-0.387907,3227566,Decline,-0.009083
11,66.5,-0.397563,-0.395267,3303036,Decline,-0.002296
11,67,-0.396858,-0.393792,3276492,Decline,-0.003066
11,67.5,-0.396757,-0.388346,3373298,Decline,-0.008411
11,68,-0.399363,-0.405000,2260875,Accept,0.005637
11,68.5,-0.397941,-0.397963,2536009,Accept,0.000022
11,69,-0.396126,-0.387810,2812970,Decline,-0.008316
11,69.5,-0.401670,-0.414322,2295604,Accept,0.012651
11,70,-0.398541,-0.400715,3242787,Accept,0.002174
11,70.5,-0.395965,-0.391257,2942977,Decline,-0.004708
11,71,-0.399948,-0.408184,2140026,Accept,0.008237
11,71.5,-0.397561,-0.397220,2450958,Decline,-0.000341
