Game Config,Strategy,Decision Type,Player Hand,Dealer Upcard,Basic Strategy,Deviation Action,Crossover TC,Crossover TC CI Low,Crossover TC CI High,EV Advantage at Crossover,EV Advantage CI Low,EV Advantage CI High,Total Hands,TC Range Low,TC Range High,Confidence,EV Diff @ TC=0,EV Diff @ TC=-5,EV Diff @ TC=+5
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,13,11,Decline,Accept,2.929799,2.429799,3.429799,0.000474,0.000474,0.000474,3378552,-14.500000,14.000000,high,-0.034424,-0.091191,0.020001
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,14,11,Decline,Accept,3.217437,2.717437,3.717437,-0.004357,-0.004357,-0.004357,3156325,-14.000000,14.000000,high,-0.034007,-0.094716,0.028949
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,15,11,Decline,Accept,2.860202,2.360202,3.360202,0.001299,0.001299,0.001299,2949761,-14.000000,14.000000,high,-0.036368,-0.095694,0.026424
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,16,11,Decline,Accept,5.255006,4.755006,5.755006,0.005432,0.005432,0.005432,2890672,-14.000000,14.000000,high,-0.061399,-0.119847,-0.005654
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,17,11,Decline,Accept,3.416921,2.916921,3.916921,0.000109,0.000109,0.000109,2524128,-14.500000,13.500000,high,-0.032364,-0.099913,0.025226
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,18,11,Decline,Accept,3.080416,3.080416,3.080416,-0.001585,-0.001585,-0.001585,2308588,-14.500000,14.000000,high,-0.033643,-0.087062,0.005227
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,19,11,Decline,Accept,3.046101,2.546101,3.546101,-0.000609,-0.000609,-0.000609,2095736,-14.000000,13.000000,high,-0.032478,-0.090450,0.024254
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,20,11,Decline,Accept,2.906993,2.406993,3.406993,0.001689,0.001689,0.001689,3757352,-15.000000,14.000000,high,-0.035286,-0.093192,0.021080
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,21,11,Decline,Accept,2.469807,2.469807,2.469807,0.000821,0.000821,0.000821,1621776,-14.000000,13.000000,high,-0.033941,-0.093090,0.036503
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,4,11,Decline,Accept,3.229860,2.729860,3.729860,-0.008868,-0.008868,-0.008868,203211,-10.000000,10.500000,high,-0.035262,-0.075538,0.012966
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,5,11,Decline,Accept,3.304889,2.804889,3.804889,0.004342,0.004342,0.004342,425745,-11.000000,11.500000,high,-0.041891,-0.107002,0.031941
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,6,11,Decline,Accept,2.942026,2.942026,2.942026,0.001369,0.001369,0.001369,630098,-12.000000,12.500000,high,-0.034420,-0.112216,0.016857
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,7,11,Decline,Accept,3.396934,2.896934,3.896934,0.002145,0.002145,0.002145,851132,-12.000000,12.500000,high,-0.035318,-0.085380,0.024463
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,8,11,Decline,Accept,2.910685,2.910685,2.910685,0.001436,0.001436,0.001436,1051425,-12.500000,13.000000,high,-0.038463,-0.099445,0.015770
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,9,11,Decline,Accept,3.106633,2.606633,3.606633,-0.000881,-0.000881,-0.000881,1275672,-13.000000,13.000000,high,-0.035979,-0.086140,0.030362
6deck_80pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,5,Split,Stand,-9.869689,-9.869689,-9.869689,-0.081502,-0.081502,-0.081502,747697,-12.000000,11.500000,high,5.951107,3.637451,545.413365
6deck_80pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,6,Split,Stand,-12.238528,-12.238528,-12.238528,3.149253,3.149253,3.149253,748989,-12.500000,12.000000,high,6.685158,4.375017,601.592528
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,14,10,Hit,Surrender,6.321018,6.321018,6.321018,0.003643,0.003643,0.003643,11761420,-16.500000,15.500000,high,-0.077420,-0.140083,-0.016237
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,9,Hit,Surrender,7.254451,6.754451,7.754451,0.006317,0.006317,0.006317,2786517,-14.500000,14.000000,high,-0.105133,-0.183692,-0.041499
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,10,Hit,Surrender,2.870704,2.370704,3.370704,0.001926,0.001926,0.001926,11012633,-16.000000,15.500000,high,-0.040948,-0.112632,0.028657
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,11,Hit,Surrender,5.335684,5.335684,5.335684,0.003844,0.003844,0.003844,1845490,-14.000000,13.000000,high,-0.063835,-0.121832,-0.007853
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,9,Hit,Surrender,6.215502,6.215502,6.215502,-0.011413,-0.011413,-0.011413,2576786,-14.000000,14.000000,high,-0.072219,-0.127247,-0.014447
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,10,Hit,Surrender,0.973428,0.973428,0.973428,0.000442,0.000442,0.000442,10181690,-16.000000,15.500000,high,-0.014161,-0.076825,0.050081
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,11,Hit,Surrender,2.637502,2.137502,3.137502,-0.002175,-0.002175,-0.002175,1706628,-14.000000,13.000000,high,-0.035928,-0.089814,0.023124
