table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0
25.0,2000.0,5000.0,0.5,10000,4537.63,4537.5,-462.37,12.5,8637.5,0.5886,0.3512,0.1615,0.0047,0.0278,674.0325,637.5,975.0,1187.5,0.9964226290780692,129248.54875,99.4132,4280.2773,0.4922,0.3512,0.1615,0.0579
25.0,2000.0,5000.0,0.75,10000,4788.82625,4775.0,-211.17375,0.0,9662.5,0.5352,0.3399,0.1843,0.0184,0.0527,962.98,912.5,1475.0,1837.5,0.9985121796483166,141934.97875,98.721,4250.2835,0.4547,0.3399,0.1843,0.0856
25.0,2000.0,5000.0,1.0,10000,4954.18125,4962.5,-45.81875,-25.0,10575.0,0.505,0.3327,0.1979,0.0404,0.0823,1193.19125,1125.0,1863.124999999991,2375.0,0.9996945470477295,150002.6425,97.5723,4200.0653,0.4336,0.3327,0.1979,0.1118
25.0,2000.0,5000.0,1.25,10000,5198.27125,5200.0,198.27125,-87.5,11887.812499999996,0.476,0.337,0.2213,0.0783,0.1278,1518.38125,1437.5,2387.5,2937.5,1.0012346154966696,160593.52125,95.6173,4115.4446,0.4189,0.337,0.2213,0.1511
25.0,2000.0,5000.0,1.5,10000,5453.45875,5475.0,453.45875,-125.0,12900.0,0.4482,0.3324,0.236,0.1129,0.1541,1743.745,1650.0,2762.5,3412.6250000000027,1.0026707133077275,169789.3775,93.9702,4044.3179,0.4016,0.3324,0.236,0.1744
25.0,2000.0,5000.0,2.0,10000,5761.495,5618.75,761.495,-237.5,15587.5,0.4506,0.369,0.3036,0.1955,0.2476,2317.9975,2212.5,3625.0,4475.0,1.0041698349897437,182619.93625,88.4641,3805.6966,0.4178,0.369,0.3036,0.2616
25.0,2000.0,5000.0,2.5,10000,6010.42375,5637.5,1010.42375,-362.8124999999997,17950.0,0.4661,0.4091,0.3653,0.2579,0.3274,2818.68625,2662.5,4488.124999999991,5475.125000000003,1.0052376040792377,192917.16875,82.5691,3550.9044,0.4421,0.4091,0.3653,0.3348
25.0,2000.0,5000.0,3.0,10000,6249.68625,5550.0,1249.68625,-450.0,20125.312499999996,0.4801,0.44,0.4076,0.2916,0.382,3281.1475,3112.5,5150.0,6525.2500000000055,1.006087754037709,205278.7025,78.3326,3367.9727,0.4621,0.44,0.4076,0.3888
25.0,2000.0,5000.0,4.0,10000,6772.21125,3050.0,1772.21125,-675.0,25625.312499999996,0.5346,0.5123,0.4942,0.3349,0.4802,4192.74125,4000.0,6600.0,8100.0,1.0081674161280685,216985.54625,69.1517,2971.232,0.5247,0.5123,0.4942,0.4838
25.0,2000.0,10000.0,0.25,10000,9582.8575,9600.0,-417.1425,5537.5,13675.0,0.5785,0.1602,0.0134,0.0,0.0,673.8875,637.5,975.0,1212.5,0.9967918384255723,130025.4025,100.0,4306.0465,0.3873,0.1602,0.0134,0.0001
25.0,2000.0,10000.0,0.5,10000,9996.41875,9975.0,-3.58125,4487.1875,15637.5,0.5033,0.1862,0.0357,0.0001,0.0003,1192.065,1125.0,1863.124999999991,2375.0,0.9999767029268061,153721.02625,99.9938,4305.8855,0.3585,0.1862,0.0357,0.0048
25.0,2000.0,10000.0,0.75,10000,10383.5825,10362.5,383.5825,3112.5,17812.5,0.4607,0.2205,0.0732,0.0066,0.0062,1773.015,1675.0,2775.0,3575.0,1.002121814922376,180780.37625,99.8649,4300.2109,0.3545,0.2205,0.0732,0.0174
25.0,2000.0,10000.0,1.0,10000,10839.38875,10837.5,839.38875,12.5,20500.624999999993,0.43,0.2452,0.1187,0.032,0.0289,2391.18,2262.5,3800.0,4800.0,1.0040895316640917,205253.02625,99.2395,4272.9793,0.3522,0.2452,0.1187,0.049
25.0,2000.0,10000.0,1.25,10000,11259.00625,11287.5,1259.00625,-100.0,22975.312499999996,0.4112,0.2672,0.1516,0.0743,0.0673,2941.0525,2775.0,4650.0,5850.2500000000055,1.0054825801379594,229637.54625,97.8646,4213.2231,0.3507,0.2672,0.1516,0.0876
25.0,2000.0,10000.0,1.5,10000,11714.08125,11725.0,1714.08125,-225.0,25575.312499999996,0.3992,0.2753,0.1777,0.1179,0.1008,3494.2025,3312.5,5525.0,6787.625000000003,1.0067585287510459,253617.5125,96.1979,4141.236,0.346,0.2753,0.1777,0.1194
25.0,2000.0,10000.0,2.0,10000,12350.2575,12400.0,2350.2575,-475.0,30988.124999999993,0.4044,0.3153,0.2497,0.209,0.1915,4601.045,4350.0,7300.0,9038.125000000015,1.008156034107973,288161.80375,91.3961,3932.8097,0.3666,0.3153,0.2497,0.206
25.0,2000.0,10000.0,2.5,10000,12935.06875,12587.5,2935.06875,-725.0,36112.5,0.4182,0.3588,0.3115,0.2725,0.2712,5647.6375,5325.0,8975.0,11175.0,1.0091161699043751,321962.9275,86.1228,3704.8527,0.3951,0.3588,0.3115,0.2811
25.0,2000.0,10000.0,3.0,10000,13484.39625,12706.25,3484.39625,-950.0,41662.81249999999,0.444,0.3993,0.367,0.3184,0.3398,6632.87625,6275.0,10425.0,12875.125000000004,1.0101321486930042,343895.09625,81.0005,3483.4801,0.4244,0.3993,0.367,0.3475
25.0,2000.0,10000.0,4.0,10000,14351.40125,9531.25,4351.40125,-1375.0,50937.5,0.5061,0.4818,0.4636,0.3565,0.4508,8383.36375,8000.0,13037.5,16162.625000000004,1.0115014000460687,378336.6575,71.3007,3064.2591,0.4944,0.4818,0.4636,0.4543
100.0,5000.0,10000.0,0.25,10000,7837.065,7350.0,-2162.935,-50.0,22600.0,0.6291,0.5051,0.3896,0.052,0.2795,2122.985,2100.0,2650.0,2900.0,0.995066851361578,438449.185,89.2626,3837.6505,0.5831,0.5051,0.3896,0.3071
100.0,5000.0,10000.0,0.5,10000,7887.22,7500.0,-2112.78,-50.0,22500.0,0.6221,0.4986,0.3926,0.0549,0.2839,2170.78,2150.0,2700.0,3100.0,0.9951978195239487,439962.64,88.772,3816.4698,0.5704,0.4986,0.3926,0.3141
100.0,5000.0,10000.0,0.75,10000,8160.7,7700.0,-1839.3,-50.0,23950.0,0.6067,0.4911,0.3849,0.067,0.2844,2336.65,2250.0,3150.0,3800.0,0.9958944419576649,448002.435,88.7619,3816.0304,0.5585,0.4911,0.3849,0.3131
100.0,5000.0,10000.0,1.0,10000,8400.31,7900.0,-1599.69,-100.0,24901.24999999998,0.5933,0.4823,0.3868,0.0793,0.2924,2638.805,2500.0,3850.0,4700.0,0.9964987367018548,456889.375,87.9644,3781.8303,0.5489,0.4823,0.3868,0.3178
100.0,5000.0,10000.0,1.25,10000,8842.54,8200.0,-1157.46,-150.0,26401.24999999998,0.5704,0.4757,0.3968,0.1068,0.3182,3114.75,2950.0,4750.0,5800.0,0.9975308743632822,468773.23,86.0494,3699.1591,0.5297,0.4757,0.3968,0.34
100.0,5000.0,10000.0,1.5,10000,9321.96,8600.0,-678.04,-251.24999999999886,28800.0,0.5447,0.4688,0.4065,0.1363,0.3433,3704.86,3500.0,5700.0,7000.500000000011,0.9985923781378372,481691.865,83.9837,3609.968,0.5128,0.4688,0.4065,0.3587
100.0,5000.0,10000.0,2.0,10000,9851.735,8450.0,-148.265,-450.0,31900.0,0.5423,0.4756,0.4208,0.1779,0.3731,4507.565,4250.0,7050.0,8700.0,0.9997014514144924,496619.335,80.9866,3480.7722,0.5136,0.4756,0.4208,0.3845
100.0,5000.0,10000.0,2.5,10000,10619.185,7600.0,619.185,-700.0,37300.0,0.5437,0.498,0.4587,0.2312,0.4277,5693.25,5400.0,8850.0,11000.500000000011,1.0012160663221559,509170.42,76.0747,3269.0588,0.5223,0.498,0.4587,0.4359
100.0,5000.0,10000.0,3.0,10000,10962.285,5275.0,962.285,-900.0,40650.0,0.5562,0.5223,0.4965,0.2606,0.4711,6491.565,6200.0,10202.499999999964,12850.0,1.0018608427960525,517123.21,71.7814,3083.4713,0.5441,0.5223,0.4965,0.4781
100.0,5000.0,10000.0,4.0,10000,12368.805,50.0,2368.805,-1301.2499999999989,52201.249999999985,0.5807,0.561,0.5473,0.3024,0.5349,8370.28,8000.0,13300.0,16150.500000000011,1.0044370097756552,533874.19,65.0473,2793.0749,0.5711,0.561,0.5473,0.5375
100.0,5000.0,50000.0,0.25,10000,48595.075,48700.0,-1404.925,30698.75,66251.24999999999,0.5604,0.1065,0.0051,0.0,0.0,3211.67,3050.0,4850.0,6050.0,0.9974244326466978,545481.755,100.0,4306.1878,0.3411,0.1065,0.0051,0.0
100.0,5000.0,50000.0,0.5,10000,50687.825,50800.0,687.825,23850.0,77100.0,0.4763,0.1706,0.0296,0.0002,0.0005,6163.285,5800.0,9700.0,12200.0,1.0010223334127528,672799.1,99.9936,4305.6886,0.3383,0.1706,0.0296,0.0023
100.0,5000.0,50000.0,0.75,10000,53030.815,52875.0,3030.815,17098.75,88551.24999999999,0.4341,0.1917,0.0606,0.0067,0.0063,8773.065,8300.0,14050.0,17900.50000000001,1.0037946804810147,798700.975,99.8907,4301.5391,0.3286,0.1917,0.0606,0.0141
100.0,5000.0,50000.0,1.0,10000,54883.515,54950.0,4883.515,5146.250000000004,101500.0,0.4154,0.2251,0.1038,0.0293,0.0221,11833.495,11200.0,18700.0,24000.0,1.0052227392523916,935048.595,99.4424,4281.816,0.3343,0.2251,0.1038,0.0407
100.0,5000.0,50000.0,1.25,10000,57207.9,57425.0,7207.9,-500.0,113801.24999999999,0.4059,0.2524,0.1347,0.0715,0.0547,14675.735,13950.0,22850.0,28800.0,1.0067485387123103,1068068.26,98.3501,4234.2962,0.3413,0.2524,0.1347,0.0728
100.0,5000.0,50000.0,1.5,10000,58644.01,58950.0,8644.01,-1250.0,128751.24999999999,0.3999,0.2745,0.1814,0.122,0.102,17764.73,16800.0,27900.0,35100.0,1.0073001160505133,1184092.135,96.2887,4144.8268,0.3506,0.2745,0.1814,0.1235
100.0,5000.0,50000.0,2.0,10000,63009.9,63025.0,13009.9,-2400.0,152850.0,0.3888,0.2993,0.2327,0.216,0.1795,22669.515,21500.0,35400.0,43250.500000000015,1.0094669187986298,1374248.61,92.04,3960.8846,0.3501,0.2993,0.2327,0.1929
100.0,5000.0,50000.0,2.5,10000,64783.55,63600.0,14783.55,-3400.0,178812.49999999983,0.4151,0.3515,0.3047,0.2702,0.2686,27587.215,26300.0,42800.0,51902.50000000006,1.0097745020386248,1512460.68,86.402,3717.0781,0.3877,0.3515,0.3047,0.2772
